"Topic","Keyword","Score","Definition"
"Race and Racism","racism",-0.42,"Prejudice based on race"
"Race and Racism","privilege",0.58,"Unearned advantages based on identity"
"Race and Racism","microaggression",-0.18,"Subtle discriminatory comments or actions"
"Race and Racism","intersectionality",0.77,"Interconnected nature of social categorizations"
"Race and Racism","colorblindness",0.88,"Ignoring racial differences"
"Race and Racism","discrimination",-0.91,"Unfair treatment based on race"
"Race and Racism","bias",0.06,"Prejudice in favor of or against one group"
"Race and Racism","stereotype",0.78,"Oversimplified image of a particular type"
"Race and Racism","segregation",0.1,"Separation or isolation of a race or class"
"Race and Racism","diversity",-0.09,"Inclusion of different types of people"
"Race and Racism","inclusion",0.91,"Act of including all types of people"
"Race and Racism","equity",-0.09,"Fairness and justice in procedures and outcomes"
"Race and Racism","allyship",0.36,"Supportive association with marginalized group"
"Race and Racism","xenophobia",0.15,"Fear or hatred of foreigners"
"Race and Racism","ethnocentrism",-0.79,"Evaluating other cultures by one's own cultural standards"
"Race and Racism","assimilation",0.8,"Adoption of dominant culture's values and behaviors"
"Race and Racism","multiculturalism",-0.51,"Coexistence of diverse cultural groups"
"Race and Racism","prejudice",-0.92,"Preconceived opinion not based on reason"
"Race and Racism","implicit",-0.34,"Unconscious attitudes affecting behavior"
"Race and Racism","explicit",0.91,"Conscious and intentional prejudice"
"Race and Racism","systemic",0.78,"Racism embedded in social structures"
"Race and Racism","institutional",0.39,"Racism within established institutions"
"Race and Racism","internalized",0.28,"Acceptance of negative stereotypes about one's own group"
"Race and Racism","marginalization",0.99,"Treatment as insignificant or peripheral"
"Race and Racism","othering",0.31,"Viewing or treating a person or group as intrinsically different"
"Sex and Sexism","sexism",0.42,"Prejudice based on sex"
"Sex and Sexism","patriarchy",0.09,"System where men hold primary power"
"Sex and Sexism","misogyny",0.19,"Hatred or contempt for women"
"Sex and Sexism","feminism",-0.42,"Advocacy for women's rights and equality"
"Sex and Sexism","harassment",-0.71,"Aggressive pressure or intimidation"
"Sex and Sexism","objectification",0.93,"Treating a person as a commodity"
"Sex and Sexism","equality",0.8,"State of being equal in status or rights"
"Sex and Sexism","empowerment",0.38,"Process of becoming stronger and more confident"
"Sex and Sexism","consent",0.59,"Permission for something to happen or agreement to do something"
"Sex and Sexism","mansplaining",-0.95,"Explaining something to a woman in a condescending way"
"Sex and Sexism","gaslighting",-0.04,"Manipulating someone into questioning their own sanity"
"Sex and Sexism","victim-blaming",0.52,"Suggesting a victim is partly responsible for their own abuse"
"Sex and Sexism","slut-shaming",-0.57,"Criticizing women for perceived sexual activity"
"Sex and Sexism","gender-bias",-0.36,"Unfair lean toward one gender over another"
"Sex and Sexism","wage-gap",-0.54,"Disparity in earnings between men and women"
"Sex and Sexism","glass-ceiling",-0.71,"Invisible barrier to advancement in a profession"
"Sex and Sexism","double-standard",-0.17,"Rule or standard applied differently between sexes"
"Sex and Sexism","stereotyping",-0.17,"Assigning oversimplified characteristics to a group"
"Sex and Sexism","discrimination",-0.26,"Unfair treatment based on sex"
"Sex and Sexism","underrepresentation",-0.7,"Inadequate presence in a field or sector"
"Sex and Sexism","marginalization",-0.72,"Treatment as insignificant or peripheral"
"Sex and Sexism","toxic-masculinity",-0.53,"Harmful cultural norms associated with masculinity"
"Sex and Sexism","male-gaze",-0.07,"Depicting the world from a masculine point of view"
"Sex and Sexism","intersectionality",-0.47,"Interconnected nature of social categorizations"
"Sex and Sexism","femininity",0.72,"Traits associated with being female"
"Poverty","poverty",-0.91,"State of lacking sufficient money or resources"
"Poverty","inequality",-0.12,"Uneven distribution of resources"
"Poverty","unemployment",0.6,"State of not having a paid job"
"Poverty","homelessness",-0.76,"Condition of lacking stable housing"
"Poverty","welfare",0.12,"Government support for those in need"
"Poverty","deprivation",-0.59,"State of being severely lacking in basic needs"
"Poverty","marginalization",-0.74,"Treatment as insignificant or peripheral"
"Poverty","exclusion",0.51,"Process of not allowing participation"
"Poverty","gentrification",0.79,"Renovation leading to an influx of wealthy residents"
"Poverty","food-insecurity",-0.25,"Lack of reliable access to sufficient food"
"Poverty","malnutrition",0.33,"Lack of proper nutrition"
"Poverty","illiteracy",-0.81,"Inability to read or write"
"Poverty","underemployment",-0.23,"Insufficient employment"
"Poverty","debt",-0.45,"Owing money"
"Poverty","social-mobility",0.63,"Ability to move between social classes"
"Poverty","class",-0.1,"Social standing or grouping"
"Poverty","socioeconomic",0.62,"Relating to social and economic factors"
"Poverty","income",0.62,"Money received on a regular basis"
"Poverty","wealth-gap",0.59,"Large disparity in wealth between groups"
"Poverty","cyclical",-0.12,"Recurring nature of poverty"
"Poverty","systemic",0.51,"Embedded in social systems"
"Poverty","working-poor",0.26,"Employed but still in poverty"
"Poverty","minimum-wage",0.42,"Lowest wage permitted by law"
"Poverty","social-safety-net",-1,"Public financial support systems"
"Poverty","austerity",-0.05,"Reduction in government spending"
"Gender","gender",-0.56,"Socially constructed characteristics of sexes"
"Gender","transgender",-0.24,"Person whose gender differs from birth sex"
"Gender","cisgender",0.23,"Person whose gender matches birth sex"
"Gender","nonbinary",-0.3,"Gender identity not exclusively male or female"
"Gender","queer",-0.78,"Umbrella term for non-heterosexual orientations"
"Gender","identity",-0.51,"One's concept of self as male, female, or neither"
"Gender","expression",0.34,"External manifestation of one's gender"
"Gender","fluidity",-0.16,"Dynamic nature of gender identity"
"Gender","dysphoria",0.58,"Distress due to mismatch between gender and sex"
"Gender","transition",-0.79,"Process of changing one's gender presentation"
"Gender","pronouns",-0.13,"Words used to refer to a person's gender"
"Gender","genderqueer",0.97,"Non-binary gender identity"
"Gender","agender",0.79,"Lacking gender identification"
"Gender","bigender",0.77,"Identifying as both male and female"
"Gender","two-spirit",-0.65,"Non-Western cultures' non-binary gender"
"Gender","androgyny",-0.74,"Combination of masculine and feminine characteristics"
"Gender","genderfluid",0.31,"Gender identity that varies over time"
"Gender","misgendering",-0.31,"Referring to someone by wrong gender"
"Gender","deadnaming",0.31,"Using a transgender person's birth name"
"Gender","binarism",-0.36,"Belief in only two genders"
"Gender","heteronormativity",-0.62,"Assumption that heterosexuality is the norm"
"Gender","lgbtqia+",0.56,"Acronym for sexual and gender minorities"
"Gender","intersex",-0.81,"Born with sex characteristics of both sexes"
"Gender","drag",-0.07,"Cross-dressing performance art"
"Gender","gender-neutral",0.02,"Not specific to one gender"
"Anti-Blackness","antiblackness",0.2,"Prejudice specifically against Black people"
"Anti-Blackness","segregation",-0.33,"Separation or isolation of a race or class"
"Anti-Blackness","profiling",-0.02,"Using race as a basis for suspicion"
"Anti-Blackness","tokenism",0.91,"Symbolic effort towards inclusivity"
"Anti-Blackness","oppression",-0.03,"Prolonged cruel or unjust treatment"
"Anti-Blackness","disenfranchisement",0.78,"Deprivation of power to participate in political process"
"Anti-Blackness","redlining",0.83,"Discriminatory denial of services based on race"
"Anti-Blackness","colorism",0.22,"Discrimination based on skin shade"
"Anti-Blackness","microaggression",-0.18,"Subtle discriminatory comments or actions"
"Anti-Blackness","stereotype",-0.71,"Oversimplified image of a particular type"
"Anti-Blackness","discrimination",0.87,"Unfair treatment based on race"
"Anti-Blackness","bias",-0.4,"Prejudice in favor of or against one group"
"Anti-Blackness","prejudice",-0.88,"Preconceived opinion not based on reason"
"Anti-Blackness","racism",0.9,"Prejudice based on race"
"Anti-Blackness","systemic",0.44,"Racism embedded in social structures"
"Anti-Blackness","institutional",-0.72,"Racism within established institutions"
"Anti-Blackness","structural",0.1,"Fundamental racism in society's structure"
"Anti-Blackness","marginalization",0.91,"Treatment as insignificant or peripheral"
"Anti-Blackness","intersectionality",0.17,"Interconnected nature of social categorizations"
"Anti-Blackness","privilege",-0.19,"Unearned advantages based on identity"
"Anti-Blackness","white-supremacy",0.3,"Belief in superiority of white people"
"Anti-Blackness","police-brutality",-0.36,"Excessive force by law enforcement against Black individuals"
"Anti-Blackness","mass-incarceration",-0.38,"Disproportionate imprisonment of Black people"
"Anti-Blackness","racial-wealth-gap",-0.56,"Economic disparity between racial groups"
"Anti-Blackness","environmental-racism",-0.26,"Policies causing environmental harm to minorities"
"Anti-Semitism","antisemitism",0.97,"Hostility or prejudice against Jews"
"Anti-Semitism","scapegoating",-0.69,"Blaming a group for societal problems"
"Anti-Semitism","holocaust",-0.82,"Genocide of European Jews in World War II"
"Anti-Semitism","prejudice",-0.72,"Preconceived opinion not based on reason"
"Anti-Semitism","xenophobia",0.38,"Fear or hatred of foreigners"
"Anti-Semitism","bigotry",0.24,"Intolerance towards those with different opinions"
"Anti-Semitism","discrimination",0.78,"Unfair treatment based on group membership"
"Anti-Semitism","stereotyping",0.35,"Widely held but oversimplified image of a group"
